repo,pr_id,file_count,modified_files,modified_functions,total_additions,total_deletions,commit_messages
microsoft/vscode,323621,1,['src/vs/base/browser/ui/breadcrumbs/breadcrumbsWidget.ts'],[],4,2,['Minor cleanup in breadcrumbsWidget to dispose items and fix style formatting']
microsoft/vscode,323619,1,['src/vs/workbench/contrib/terminalContrib/stickyScroll/browser/terminalStickyScrollOverlay.ts'],[],1,0,['Update terminal sticky scroll overlay state when changed']
microsoft/vscode,323618,3,"['src/vs/sessions/SESSIONS_LIST.md', 'src/vs/sessions/contrib/sessions/browser/views/sessionsList.ts', 'src/vs/sessions/contrib/sessions/test/browser/sessionsList.test.ts']","['minutesAgo', 'daysAgo']",69,20,"['Simplify session time buckets to Recent and Older\n\nReplace the today/yesterday/last-7-days/older date buckets in the\nsessions list with two buckets: Recent (up to 10 sessions from the\nlast 7 days) and Older (the rest).\n\nCo-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>', 'Address review: make RECENT_SESSIONS_LIMIT private, add groupByDate tests\n\nCo-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>']"
microsoft/vscode,323615,7,"['.github/skills/add-policy/SKILL.md', '.github/skills/add-policy/github-managed-settings.md', 'src/vs/platform/policy/common/copilotManagedSettings.ts', 'src/vs/platform/policy/test/common/copilotManagedSettings.test.ts', 'src/vs/workbench/browser/actions/developerActions.ts', 'src/vs/workbench/services/policies/common/accountPolicyService.ts', 'src/vs/workbench/services/policies/test/browser/accountPolicyService.test.ts']",[],46,44,"['policy: let native MDM win over server for managed settings\n\nFlip the managed-settings precedence so native MDM takes priority over\nthe GitHub server endpoint. selectManagedSettings now resolves native\nMDM first, then server, then the on-disk file, and the Policy Diagnostics\nreport lists the channels in that same precedence order.\n\nCo-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>', 'policy: update accountPolicyService tests, comment, and docs for MDM precedence\n\nFlip the AccountPolicyService precedence unit tests so native MDM wins\nover the server channel, fix the stale getPolicyData() comment, and\nupdate the add-policy skill docs to describe native MDM > server > file.\n\nCo-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>', 'policy: reorder selectManagedSettings params to match precedence\n\nAddress PR review: make the parameter order (nativeMdm, server, file)\nmatch the resolution precedence so same-typed call sites are\nself-documenting and harder to transpose. Update both call sites, the\nunit tests, and the skill docs.\n\nCo-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>']"
microsoft/vscode,323614,1,['src/vs/sessions/contrib/sessions/browser/sessionsActions.ts'],[],0,12,['[cherry-pick] sessions: fix sessions picker closing immediately on Ctrl+R release']
microsoft/vscode,323613,3,"['src/vs/base/common/managedSettings.ts', 'src/vs/platform/policy/common/copilotManagedSettings.ts', 'src/vs/workbench/contrib/chat/browser/chat.shared.contribution.ts']","['isObject', 'isUnsafeMarketplaceKey', 'extraKnownMarketplacesToConfigDict', 'encodeObject', 'encodeExtraMarketplaces', 'encodeArray']",64,9,"['Tidy Copilot managed-settings structured table for consistency\n\nGive every STRUCTURED_MANAGED_SETTINGS row a named encode* helper\n(encodeObject, encodeArray, encodeExtraMarketplaces) co-located with the\nexisting encodeStringMap, instead of mixing inline lambdas with named refs.\nThis keeps the central deserialization/mapping table uniform and easy to\nextend.\n\nNo behavior change. base/common/managedSettings.ts stays the shared\nbase-layer module (consumed by both the policy layer and chat plugin code),\nand IStrictMarketplaceSource is retained.\n\nCo-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>', 'Harden extraKnownMarketplacesToConfigDict against prototype pollution\n\nMarketplace names arrive from managed settings (untrusted input) and are\nwritten as object keys, so skip __proto__/constructor/prototype keys, mirroring\nthe guard already present in the managed-settings string-map encoder.\n\nCo-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>', 'Centralize the default-model managed-settings value callback\n\nThe model managed setting was the only managed-settings-driven control whose\npolicy value callback was hand-rolled inline in chat.shared.contribution.ts\n(pass-through + trim + empty->undefined), while enabledPlugins / extraMarketplaces\n/ strictMarketplaces all use the shared managedSettingValue() helper.\n\nAdd a memoized managedModelValue() helper in copilotManagedSettings.ts that holds\nthe model-specific trim/empty normalization, and wire the policy with\nvalue: managedModelValue() so every managed-settings control is declared the same\nway and the model normalization lives with the rest of the managed-settings logic.\nNo behavior change.\n\nCo-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>']"
microsoft/vscode,323612,1,['extensions/npm/package-lock.json'],[],3,3,['build(deps): bump js-yaml from 3.14.2 to 3.15.0 in /extensions/npm\n\nBumps [js-yaml](https://github.com/nodeca/js-yaml) from 3.14.2 to 3.15.0.\n- [Changelog](https://github.com/nodeca/js-yaml/blob/master/CHANGELOG.md)\n- [Commits](https://github.com/nodeca/js-yaml/compare/3.14.2...3.15.0)\n\n---\nupdated-dependencies:\n- dependency-name: js-yaml\n  dependency-version: 3.15.0\n  dependency-type: indirect\n...\n\nSigned-off-by: dependabot[bot] <support@github.com>']
microsoft/vscode,323610,2,"['extensions/copilot/src/extension/intents/node/agentIntent.ts', 'extensions/copilot/src/extension/intents/node/test/searchSubagentGating.spec.ts']",[],21,2,['[cherry-pick] Disable semantic_search on BYOK/custom endpoints']
microsoft/vscode,323609,2,"['extensions/markdown-language-features/media/markdown.css', 'extensions/markdown-language-features/preview-src/index.ts']","['createCopyIcon', 'addCodeBlockCopyButtons', 'createCheckIcon']",114,0,['feat: add copy button to code blocks in markdown preview\n\nAdds a GitHub-style copy button that appears on hover in the top-right\ncorner of code blocks in the markdown preview. Clicking copies the code\nblock content to the clipboard and shows a checkmark confirmation.']
microsoft/vscode,323607,3,"['src/vs/sessions/browser/parts/mobile/media/mobilePickerSheet.css', 'src/vs/sessions/contrib/sessions/browser/mobile/mobileArchiveConfirmSheet.ts', 'src/vs/sessions/contrib/sessions/browser/views/sessionsViewActions.ts']",[],151,13,"['Agents mobile: native bottom-sheet confirmation for archive-all\n\nOn phone layout the desktop confirmation dialog for the destructive\n""Mark All as Done"" bulk action rendered with the safe (Cancel) button\npushed off-screen. Rather than patch the dialog with CSS, route the\nconfirmation through the existing showMobileContentSheet primitive\n(matching the other Agents-window mobile surfaces) with full-width\ndestructive + Cancel buttons and 44px tap targets. Desktop/tablet keep\nthe existing dialog.\n\nThe sheet builder lives in its own file under the feature\'s mobile/\nfolder (mobileArchiveConfirmSheet.ts), mirroring the other mobile sheet\nbuilders. It moves focus into the sheet (defaulting to the safe Cancel\naction) and restores focus on close, like IDialogService.confirm.\n\nThe sheet intentionally omits the ""Do not ask me again"" opt-out: the\npersisted skip flag is shared across layouts, so a single mis-tap on the\ncramped phone dialog could otherwise permanently disable confirmation for\na destructive bulk action.\n\nCo-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>']"
microsoft/vscode,323606,1,['src/vs/sessions/contrib/sessions/browser/sessionsActions.ts'],[],0,12,"[""sessions: fix sessions picker closing immediately on Ctrl+R release\n\nSetting picker.quickNavigate on the initial open caused the platform's\nbuilt-in KEY_UP listener to accept the focused item as soon as the\nmodifier was released after the first Ctrl+R — making the picker appear\nto not open at all.\n\nThe correct pattern (matching Cmd+P): quickNavigate must only be set\nwhen the chord is pressed a SECOND time while the picker is already\nopen. The navigate-next/previous keybinding rules already delegate to\ngetQuickNavigateHandler which calls quickInputService.navigate() and\nsets quickNavigate at that point, so the initial open must not set it.\n\nCo-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>""]"
microsoft/vscode,323605,2,"['extensions/copilot/src/extension/intents/node/agentIntent.ts', 'extensions/copilot/src/extension/intents/node/test/searchSubagentGating.spec.ts']",[],21,2,"['chat: disable semantic_search on BYOK/custom endpoints\n\nThe semantic_search (codebase) tool relies on embeddings that require a\nCopilot token source. On BYOK / custom (non-CAPI) endpoints those embeddings\nare unavailable, and when the GitHub authentication provider is disabled the\nembeddings lookup times out waiting for the provider and aborts the entire\nchat turn instead of degrading gracefully.\n\nGate semantic_search off for non-CAPI endpoints alongside the specialized\nsubagents so it is never offered (even if manually enabled via the tool\npicker) when it cannot work. Add tests covering the CAPI and BYOK cases.\n\nFixes #322525\n\nCo-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>']"
microsoft/vscode,323601,1,['src/vs/workbench/services/assignment/common/assignmentService.ts'],['logFetchLatency'],34,3,"['Telemetry to measure TAS latency', 'feedback updates']"
microsoft/vscode,323599,4,"['src/vs/platform/agentHost/common/agentModelPricing.ts', 'src/vs/platform/agentHost/node/claude/claudeAgent.ts', 'src/vs/platform/agentHost/node/codex/codexAgent.ts', 'src/vs/platform/agentHost/test/node/copilotAgent.test.ts']",['asNumber'],82,15,"['Fix pricing context hover', 'Fix comments']"
microsoft/vscode,323598,2,"['src/vs/sessions/contrib/providers/copilotChatSessions/browser/copilotChatSessionsProvider.ts', 'src/vs/sessions/contrib/providers/copilotChatSessions/test/browser/copilotChatSessionsProvider.test.ts']",[],41,0,"['sessions: only fire onDidChangeSessionTypes when effective set changes\n\nAddresses Copilot Code Review feedback on #323567:\n\n- The configuration-change handler fired `onDidChangeSessionTypes` (and\n  refreshed the session cache) for any change to the relevant settings, even\n  when the effective session types were unchanged (e.g. toggling\n  `chat.agents.claude.preferAgentHost` while `chat.agentHost.enabled` is off and\n  the preference is ignored). This violated the ISessionsProvider event contract\n  and caused unnecessary picker refreshes. Cache the effective Claude / Copilot\n  CLI availability and only fire when it actually changes.\n- Add a live-toggle test asserting that enabling `chat.agentHost.enabled`\n  applies the Claude `preferAgentHost` gate and drops the Claude session type.\n\nCo-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>']"
microsoft/vscode,323597,4,"['.github/skills/sessions/SKILL.md', 'src/vs/platform/agentHost/node/agentService.ts', 'src/vs/platform/agentHost/test/node/agentService.test.ts', 'src/vs/sessions/browser/parts/chatCompositeBar.ts']","['timeout', 'createChat', 'getChats']",43,15,"[""sessions: fix chat tab ordering in the Agents window\n\nChat tabs reordered for two reasons. (1) The renderer partitioned chats\nby status, pushing in-composer Untitled chats to the end, so committing a\ndraft out of creation order made its tab jump. (2) restoreSession seeded\npeer chats in Promise.all resolution order rather than getChats() order,\nscrambling the catalog on reload.\n\nRender the provider's stable creation order as-is, and restore peer chats\nin getChats() order while still loading their data in parallel. Update the\nsessions skill pitfall to match.\n\nCo-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>""]"
microsoft/vscode,323594,10,"['product.json', 'src/vs/base/common/product.ts', 'src/vs/platform/actionWidget/browser/actionList.ts', 'src/vs/platform/actionWidget/browser/actionWidget.css', 'src/vs/platform/actionWidget/test/browser/actionList.test.ts', 'src/vs/sessions/contrib/chat/browser/modelPicker.ts', 'src/vs/workbench/contrib/chat/browser/chat.shared.contribution.ts', 'src/vs/workbench/contrib/chat/browser/widget/input/chatInputPart.ts', 'src/vs/workbench/contrib/chat/browser/widget/input/chatModelPicker.ts', 'src/vs/workbench/contrib/chat/browser/widget/input/modelPickerActionItem.ts']","['isCacheBreakHintDismissed', 'getCacheBreakLearnMoreLink', 'dismissCacheBreakHint', 'isCacheBreakHintEnabled', 'shouldShowCacheBreakHint']",202,6,"['chat: warn when changing model/options mid-session breaks the prompt cache\n\nThe model and options pickers surface a cache-break cost hint when the\nchat session\'s prompt cache is warm — switching the model or changing\noptions mid-session resets that warm cache and may increase cost. The hint\nincludes a ""Learn more"" link (rendered via the shared Link widget through\na new optional headerLink on the action list header banner) pointing at\nthe Copilot docs on optimizing AI usage.\n\nWarmth is derived directly from the session\'s request history at the\npicker rather than tracked in a parallel in-memory map: getRequests()\nlength for the default chat, and session status leaving Untitled for\nagent-host sessions. Both warm as soon as the first request is sent, so\nthe signal is drift-free and consistent across surfaces — it covers\nreloaded/restored sessions, every request path, and the agents window.\n\nCo-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>']"
microsoft/vscode,323593,7,"['src/vs/platform/agentHost/node/agentHostChangesetCoordinator.ts', 'src/vs/sessions/contrib/changes/browser/changesView.ts', 'src/vs/sessions/contrib/changes/browser/changesViewService.ts', 'src/vs/sessions/contrib/providers/agentHost/browser/agentHostChangesetConstants.ts', 'src/vs/sessions/contrib/providers/agentHost/browser/agentHostSessionChangesets.ts', 'src/vs/sessions/contrib/providers/agentHost/browser/baseAgentHostSessionsProvider.ts', 'src/vs/sessions/contrib/providers/agentHost/test/browser/localAgentHostSessionsProvider.test.ts']",[],40,110,"['Agents - reduce flickering of the change list + actions', 'Fix tests']"
microsoft/vscode,323591,2,"['extensions/copilot/src/extension/log/vscode-node/loggingActions.ts', 'src/vs/workbench/api/node/proxyResolver.ts']",['proxyResolveType'],55,1,['[cherry-pick] Record proxy type']
microsoft/vscode,323587,14,"['src/vs/platform/agentHost/common/agentService.ts', 'src/vs/platform/agentHost/common/state/sessionState.ts', 'src/vs/platform/agentHost/node/activeClientState.ts', 'src/vs/platform/agentHost/node/agentService.ts', 'src/vs/platform/agentHost/node/agentSideEffects.ts', 'src/vs/platform/agentHost/node/claude/clientTools/claudeSessionClientToolsModel.ts', 'src/vs/platform/agentHost/node/copilot/copilotAgent.ts', 'src/vs/platform/agentHost/node/copilot/copilotAgentSession.ts', 'src/vs/platform/agentHost/test/node/agentSideEffects.test.ts', 'src/vs/platform/agentHost/test/node/clientTools/claudeSessionClientToolsModel.test.ts', 'src/vs/platform/agentHost/test/node/copilotAgent.test.ts', 'src/vs/platform/agentHost/test/node/mockAgent.ts', 'src/vs/workbench/contrib/chat/browser/agentSessions/agentHost/agentHostSessionHandler.ts', 'src/vs/workbench/contrib/chat/test/browser/agentSessions/agentHostClientTools.test.ts']","['createMockToolsService', 'provideSessionWithReadyRunTaskTool', 'createAgentSessionThroughAgent', 'waitForSendMessageCalls', 'timeout', 'getToolCallConfirmationAndCompletionActions', 'disposeAgent', '_toolCallCompletionChat', 'send', 'sendMessage']",362,109,"['Fix agent host client tool stalls (#323526)\n\n* Fix agent host client tool stalls\n\nPrefer tools from the sending active client when multiple active clients provide the same tool.\n\nEnsure client tool failures during prepare invocation and completions from pending confirmation state are reported back so tool calls do not stall.\n\nFixes #323225\n\nCo-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>\n\n* Fix pending permission cleanup for client tool completion\n\nEnsure client tool completions that unblock pending permission requests go through the normal permission response cleanup path so pending edit content and registry entries are removed.\n\nCo-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>\n\n---------\n\nCo-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>', 'Merge pull request #323575 from microsoft/connor/fix-subagent-tool-completion-routing\n\nFix subagent client tool completion routing']"
microsoft/vscode,323585,2,"['extensions/copilot/src/extension/log/vscode-node/loggingActions.ts', 'src/vs/workbench/api/node/proxyResolver.ts']",['proxyResolveType'],55,1,['Record proxy type']
microsoft/vscode,323583,3,"['src/vs/workbench/contrib/browserView/electron-browser/browserEditor.ts', 'src/vs/workbench/contrib/browserView/electron-browser/features/browserNavigationFeatures.ts', 'src/vs/workbench/contrib/browserView/electron-browser/features/webContentsViewRendererFeature.ts']",[],23,10,['Browser: fix url bar taking back focus after navigating on a new tab (#323563)']
microsoft/vscode,323582,3,"['src/vs/base/common/yaml.ts', 'src/vs/base/test/common/yaml.test.ts', 'src/vs/workbench/contrib/chat/browser/agentSessions/agentHost/agentCustomizationItemProvider.ts']","['toDirectoryChildItem', 'parseCommaSeparatedList', 'isParentOrEqual', 'toDirectoryItems']",48,8,"['Customization UI with agent host: Improve instructions page', 'update', 'add badges']"
microsoft/vscode,323580,4,"['src/vs/platform/agentHost/node/copilot/copilotAgent.ts', 'src/vs/platform/agentHost/test/node/copilotAgent.test.ts', 'src/vs/sessions/contrib/providers/agentHost/browser/baseAgentHostSessionsProvider.ts', 'src/vs/sessions/contrib/providers/agentHost/test/browser/localAgentHostSessionsProvider.test.ts']","['provisional', '_reconcileAgentFromState', '9e6a2a71ddf', 'disposeAgent']",186,0,['[cherry-pick] Enhance agent selection handling for worktree sessions']
microsoft/vscode,323575,5,"['src/vs/platform/agentHost/common/state/sessionState.ts', 'src/vs/platform/agentHost/node/agentSideEffects.ts', 'src/vs/platform/agentHost/node/copilot/copilotAgent.ts', 'src/vs/platform/agentHost/test/node/agentSideEffects.test.ts', 'src/vs/platform/agentHost/test/node/copilotAgent.test.ts']",['_toolCallCompletionChat'],54,56,['Fix subagent client tool completion routing\n\nRoute client tool completions from subagent chats through their recorded parent chat so tools running under peer chat subagents resolve against the correct SDK conversation.\n\nCo-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>']
microsoft/vscode,323571,4,"['src/vs/platform/agentHost/common/agentHost.config.contribution.ts', 'src/vs/sessions/contrib/providers/copilotChatSessions/browser/copilotChatSessionsProvider.ts', 'src/vs/sessions/contrib/providers/copilotChatSessions/test/browser/copilotChatSessionsProvider.test.ts', 'src/vs/workbench/contrib/chat/browser/chat.shared.contribution.ts']",['_isAgentHostEnabled'],84,35,['[cherry-pick] sessions: gate Copilot CLI/Claude agent-host preferences on chat.agentHost.enabled']
microsoft/vscode,323567,4,"['src/vs/platform/agentHost/common/agentHost.config.contribution.ts', 'src/vs/sessions/contrib/providers/copilotChatSessions/browser/copilotChatSessionsProvider.ts', 'src/vs/sessions/contrib/providers/copilotChatSessions/test/browser/copilotChatSessionsProvider.test.ts', 'src/vs/workbench/contrib/chat/browser/chat.shared.contribution.ts']",['_isAgentHostEnabled'],84,35,"['sessions: gate Copilot CLI/Claude agent-host preferences on chat.agentHost.enabled\n\nThe `chat.agents.copilotCli.hideExtensionHost` and\n`chat.agents.claude.preferAgentHost` settings tell the Copilot Chat sessions\nprovider to step aside so the agent host can surface its own Copilot CLI / Claude\nentries. When `chat.agentHost.enabled` is off the agent host never registers\nthose entries, so honoring the preferences would make the entries disappear\nentirely. Gate both on `chat.agentHost.enabled` so they are only respected when\nthe agent host is actually enabled, and document the requirement on the settings.\n\nCo-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>']"
microsoft/vscode,323566,4,"['src/vs/platform/agentHost/node/copilot/copilotAgent.ts', 'src/vs/platform/agentHost/test/node/copilotAgent.test.ts', 'src/vs/sessions/contrib/providers/agentHost/browser/baseAgentHostSessionsProvider.ts', 'src/vs/sessions/contrib/providers/agentHost/test/browser/localAgentHostSessionsProvider.test.ts']","['_getAlternativeAgentForWorktree', '_hydrateAgentFromDraft', 'disposeAgent', 'provisional', '_reconcileAgentFromState', '_resolveAgentWhenMaterializing']",526,8,"['Enhance agent selection handling for worktree sessions\n\n- Introduced methods to resolve and rebase agent paths when transitioning between repositories and worktrees.\n- Updated session management to persist selected agents correctly during session transitions.\n- Added tests to verify agent selection behavior during session resumption and worktree transitions.\n\nFixes https://github.com/microsoft/vscode/issues/323428', 'Potential fix for pull request finding\n\nCo-authored-by: Copilot Autofix powered by AI <175728472+Copilot@users.noreply.github.com>']"
microsoft/vscode,323563,3,"['src/vs/workbench/contrib/browserView/electron-browser/browserEditor.ts', 'src/vs/workbench/contrib/browserView/electron-browser/features/browserNavigationFeatures.ts', 'src/vs/workbench/contrib/browserView/electron-browser/features/webContentsViewRendererFeature.ts']",[],23,10,"['Browser: fix url bar taking back focus after navigating on a new tab', 'feedback']"
microsoft/vscode,323555,6,"['src/vs/workbench/contrib/chat/browser/actions/chatActions.ts', 'src/vs/workbench/contrib/chat/browser/widget/chatWidgetService.ts', 'src/vs/workbench/contrib/chat/browser/widget/input/chatInputPart.ts', 'src/vs/workbench/contrib/chat/browser/widgetHosts/editor/chatEditorInput.ts', 'src/vs/workbench/contrib/chat/common/constants.ts', 'src/vs/workbench/contrib/chat/test/common/constants.test.ts']",['getDefaultNewChatSessionResource'],6,160,['Remove last-used session type and agent logic (#323484)\n\n* remove last-used session type logic and related tests\n\n* refactor: remove last-used session type logic from chat editor input\n\n* refactor: remove unused storage service dependency from ChatEditorInput']
microsoft/vscode,323549,1,['src/vs/editor/contrib/inlineCompletions/browser/model/inlineCompletionsModel.ts'],[],7,2,"['fix: avoid reader use after seeding side-effect in inline completions fetch\n\nThe _fetchInlineCompletionsPromise derived read reader-tracked observables\n(_didUndoInlineEdits, _inlineEditsEnabled) after calling\nseedInlineCompletionsWithSuggestWidget(), whose nested transaction re-enters\nand recomputes the same derived, invalidating the reader and throwing\n""The reader object cannot be used outside its compute function!"". Capture\nthose reads into locals before the seed so no read(reader) follows the\nstate-mutating side-effect.\n\nFixes #323531\n\nCo-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>']"
microsoft/vscode,323548,2,"['src/vs/sessions/contrib/providers/agentHost/browser/baseAgentHostSessionsProvider.ts', 'src/vs/sessions/contrib/providers/agentHost/test/browser/localAgentHostSessionsProvider.test.ts']","['_reconcileAgentFromState', '_hydrateAgentFromDraft']",328,3,"['Enhance agent handling: rebase selected agent on worktree relocation and restore from draft on session resume', 'Refactor agent hydration logic to ensure one-shot observation and prevent leaks or overrides', 'Potential fix for pull request finding\n\nCo-authored-by: Copilot Autofix powered by AI <175728472+Copilot@users.noreply.github.com>', ""Merge branch 'main' into don/careful-asp""]"
microsoft/vscode,323546,2,"['src/vs/workbench/services/layout/browser/layoutService.ts', 'src/vs/workbench/services/layout/test/browser/layoutService.test.ts']","['getFloatingOuterEdgeOwners', 'isFloatingPanelsEnabled', 'owners', 'resolveFloatingOuterOwner', 'getSideBarPosition', 'getPanelPosition', 'isVisible']",129,19,"['Improve layout service logic for determining floating panel owners', 'Refactor getFloatingOuterEdgeOwners to use consistent panel group variable naming and add unit tests for edge ownership across layouts', 'Add test case for horizontal panel visibility in edge ownership logic\n\nCo-authored-by: Copilot <copilot@github.com>']"
microsoft/vscode,323544,4,"['src/vs/sessions/browser/actions/vscodeActions.ts', 'src/vs/sessions/browser/openInVSCodeUtils.ts', 'src/vs/sessions/electron-browser/actions/vscodeActions.ts', 'src/vs/sessions/test/browser/resolveRemoteAuthority.test.ts']",['getFolderUriToOpen'],57,123,['[cherry-pick] Revert PR 323316']
microsoft/vscode,323537,1,['src/vs/platform/extensionManagement/node/extensionManagementService.ts'],[],3,2,"['fix: avoid unhandled rejection from orphan .finally() in gallery extension download dedup (fixes #323530)\n\ncreateInstallExtensionTask memoizes in-flight gallery downloads in\nextractingGalleryExtensions, but called promise.finally(cleanup) as a\nstandalone statement and returned the raw promise. When the download/\nverify rejected (e.g. signature verification UnknownError), the returned\npromise was handled by the caller while the discarded .finally() promise\nrejected with no handler, producing an unhandled rejection in the shared\nprocess that surfaced in error telemetry.\n\nFold .finally() into the stored/returned promise so the single handled\npromise carries the cleanup, matching the existing idiom used by\nscanExtensions in the same file. No error is suppressed; the real caller\nstill receives and handles the rejection.\n\nCo-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>']"
microsoft/vscode,323536,1,['src/vs/workbench/contrib/chat/browser/chatManagement/chatModelsWidget.ts'],[],1,1,['[cherry-pick] Clarify Ollama provider in Models view migrate tooltip']
microsoft/vscode,323532,7,"['extensions/copilot/package.json', 'extensions/copilot/src/extension/byok/common/byokProvider.ts', 'extensions/copilot/src/extension/byok/common/test/byokProvider.spec.ts', 'extensions/copilot/src/extension/byok/node/openAIEndpoint.ts', 'extensions/copilot/src/extension/byok/vscode-node/customEndpointProvider.ts', 'extensions/copilot/src/extension/byok/vscode-node/test/customEndpointProvider.spec.ts', 'extensions/copilot/src/platform/endpoint/common/endpointProvider.ts']",['_applyConfiguredModelOptions'],252,4,"['chat: support custom endpoint model options\n\n- Allows custom endpoint models to replace Copilot sampling defaults so providers with fixed parameter requirements can accept requests.\n- Supports explicit parameter omission, which lets model servers apply required defaults instead of receiving incompatible generated values.\n- Preserves explicit per-request options and applies the same behavior across Chat Completions, Responses, and Messages APIs.\n\nFixes #321514\n\n(Commit message generated by Copilot)\n\nCo-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>', 'chat: test custom endpoint model options\n\n- Prevents regressions where model-configured sampling values are lost before endpoint request construction.\n- Verifies omission and precedence behavior because providers may reject generated defaults even when they accept explicit request values.\n- Covers Chat Completions, Responses, and Messages so every supported custom endpoint API remains compatible.\n\n(Commit message generated by Copilot)\n\nCo-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>', ""Merge branch 'main' into agents/investigate-unit-test-failure-root-cause""]"
microsoft/vscode,323529,2,"['extensions/copilot/package-lock.json', 'extensions/copilot/package.json']",[],158,147,"['build(deps): bump js-yaml and @secretlint/formatter\n\nBumps [js-yaml](https://github.com/nodeca/js-yaml) to 4.3.0 and updates ancestor dependency [@secretlint/formatter](https://github.com/secretlint/secretlint). These dependencies need to be updated together.\n\n\nUpdates `js-yaml` from 4.1.1 to 4.3.0\n- [Changelog](https://github.com/nodeca/js-yaml/blob/master/CHANGELOG.md)\n- [Commits](https://github.com/nodeca/js-yaml/compare/4.1.1...4.3.0)\n\nUpdates `@secretlint/formatter` from 10.1.1 to 10.2.2\n- [Release notes](https://github.com/secretlint/secretlint/releases)\n- [Commits](https://github.com/secretlint/secretlint/compare/v10.1.1...v10.2.2)\n\n---\nupdated-dependencies:\n- dependency-name: js-yaml\n  dependency-version: 4.3.0\n  dependency-type: direct:development\n- dependency-name: ""@secretlint/formatter""\n  dependency-version: 10.2.2\n  dependency-type: indirect\n...\n\nSigned-off-by: dependabot[bot] <support@github.com>']"
microsoft/vscode,323527,15,"['extensions/copilot/src/extension/chatSessions/copilotcli/vscode-node/copilotCLICustomizationProvider.ts', 'extensions/copilot/src/extension/chatSessions/vscode-node/claudeCustomizationProvider.ts', 'src/vs/platform/agentHost/node/copilot/sessionCustomizationDiscovery.ts', 'src/vs/workbench/api/browser/mainThreadChatAgents2.ts', 'src/vs/workbench/api/common/extHost.protocol.ts', 'src/vs/workbench/api/common/extHostChatAgents2.ts', 'src/vs/workbench/contrib/chat/browser/agentSessions/agentHost/agentCustomizationItemProvider.ts', 'src/vs/workbench/contrib/chat/browser/agentSessions/agentHost/agentHostChatContribution.ts', 'src/vs/workbench/contrib/chat/browser/aiCustomization/aiCustomizationListWidget.ts', 'src/vs/workbench/contrib/chat/browser/aiCustomization/aiCustomizationManagementEditor.ts', 'src/vs/workbench/contrib/chat/browser/aiCustomization/customizationCreatorService.ts', 'src/vs/workbench/contrib/chat/browser/aiCustomization/promptsServiceCustomizationItemProvider.ts', 'src/vs/workbench/contrib/chat/browser/promptSyntax/pickers/askForPromptSourceFolder.ts', 'src/vs/workbench/contrib/chat/common/customizationHarnessService.ts', 'src/vscode-dts/vscode.proposed.chatSessionCustomizationProvider.d.ts']","['resolveUserDirectory', 'resolveTargetDirectoryWithPicker', 'createNewItemManual', 'resolveUserTargetDirectory']",101,135,"['customization UI: polish source folder pickers', 'Potential fix for pull request finding\n\nCo-authored-by: Copilot Autofix powered by AI <175728472+Copilot@users.noreply.github.com>', 'update', 'update']"
